"Part";"Value";"Device";"Package";"Description";"";
"C1";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";
"C2";"20pF";"20PF-0402T-16V-10%";"0402-TIGHT";"20pF ceramic capacitors";"";
"C3";"20pF";"20PF-0402T-16V-10%";"0402-TIGHT";"20pF ceramic capacitors";"";
"C4";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";
"C5";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";
"C6";"10uF";"CL10B106MQ8NRNCCAP_CL10-L";"CAP_CL10-L";"";"";
"C7";"10uF";"CL10B106MQ8NRNCCAP_CL10-L";"CAP_CL10-L";"";"";
"C8";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";
"C9";"1uF";"1UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";
"C10";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";
"C11";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";
"C12";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";
"C13";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";
"C14";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";
"C16";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";
"C17";"TAJR475K010RNJ";"TAJR475K010RNJ";"CAPPM2014X120N";"AVX 4.7uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 10 V dc +/-10%, TAJ Series";"";
"C18";"10uF";"CL10B106MQ8NRNCCAP_CL10-L";"CAP_CL10-L";"";"";
"C19";"10uF";"CL10B106MQ8NRNCCAP_CL10-L";"CAP_CL10-L";"";"";
"C20";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";
"C21";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";
"C22";"2.2uF";"2.2UF-0402T-16V-10%";"0402-TIGHT";"2.2uF ceramic capacitors";"";
"C23";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";
"C24";"2.2uF";"2.2UF-0402T-16V-10%";"0402-TIGHT";"2.2uF ceramic capacitors";"";
"C25";"0.01uF";"0.01UF-0402T-16V-10%";"0402-TIGHT";"0.01µF ceramic capacitors";"";
"C26";"2.2uF";"2.2UF-0402T-16V-10%";"0402-TIGHT";"2.2uF ceramic capacitors";"";
"C27";"2.2uF";"2.2UF-0402T-16V-10%";"0402-TIGHT";"2.2uF ceramic capacitors";"";
"C28";"DNP";"CDNP-0402";"0402-1005X55N";"SMD Capacitor";"";
"C29";"DNP";"CDNP-0402";"0402-1005X55N";"SMD Capacitor";"";
"C30";"DNP";"C-DNP-0603";"0603-1608X90N";"SMD Capacitor";"";
"C31";"DNP";"C-DNP-0603";"0603-1608X90N";"SMD Capacitor";"";
"C32";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";
"C33";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";
"C34";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";
"C35";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";
"C36";"0.01uF";"0.01UF-0402T-16V-10%";"0402-TIGHT";"0.01µF ceramic capacitors";"";
"C37";"2.2nF";"2.2NF-0402T-16V-10%";"0402-TIGHT";"2.2uF ceramic capacitors";"";
"C38";"4n7";"C4.7NF-0805";"0805-R2013X50N";"SMD Capacitor";"";
"C53";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";
"CS";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"D+1";"DNP";"TPTP-1.00MM";"TP-1.00MM";"Testpoint";"";
"D-1";"DNP";"TPTP-1.00MM";"TP-1.00MM";"Testpoint";"";
"D1";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";
"D2";"PRTR5V";"PRTR5V0U2X,215";"SOT190P230X110-4N";"USB ESD protection";"";
"D3";"LTRBGFSF-ABCB-QKYO-0-0-R18-Z";"LTRBGFSF-ABCB-QKYO-0-0-R18-Z";"PLCC-6";"LED RGB DIFFUSED 6SMD";"";
"D4";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";
"D5";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";
"FD1";"DNP";"FIDUCIAL-1.5MM";"FD-1-1.5";"Fiducial mount";"";
"FD2";"DNP";"FIDUCIAL-1.5MM";"FD-1-1.5";"Fiducial mount";"";
"FD3";"DNP";"FIDUCIAL-1.5MM";"FD-1-1.5";"Fiducial mount";"";
"FD4";"DNP";"FIDUCIAL-1.5MM";"FD-1-1.5";"Fiducial mount";"";
"FD5";"DNP";"FIDUCIAL-1.5MM";"FD-1-1.5";"Fiducial mount";"";
"FD6";"DNP";"FIDUCIAL-1.5MM";"FD-1-1.5";"Fiducial mount";"";
"GND47";"DNP";"TPTP-1.00MM";"TP-1.00MM";"Testpoint";"";
"GPIO0";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"J1";"MOLEX_52437-2471MOLEX_52437-2471_0_0";"MOLEX_52437-2471MOLEX_52437-2471_0_0";"MOLEX_52437-2471_0";"MOLX-52437-2471";"";
"J3";"-";"USB-MICRO";"ZX62-AB-5PA";"USB - micro AB USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle, Horizontal";"";
"J6";"";"JST_2PIN-SMT-RA";"JST-PH-2-SMT-RA";"JST 2-Pin Connectors of various flavors";"";
"J8";"TC2030-MCP";"TC2030-MCP";"TC2030MCP";"TC2030-MCP PCB FOOTPRINT,TC2030-MCP";"";
"JCLK";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"JGND";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"JTDO";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"JTMS";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"L3";"BLM18PG471SN1D";"BLM18PG471SN1D";"BEADC1608X95N";"Chip Ferrite Bead";"";
"LPO_IN";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"MISO";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"MOSI";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"PB1";"PTS820";"TACTILE1PTS820-NH";"C&K_PTS820_NO_HOLES";"Tactile Switch SPST-NO Top Actuated Surface Mount";"";
"PGND";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"Q1";"BSS138PS,115";"BSS138PS,115";"SOT65P210X110-6N";"Nexperia BSS138PS,115 Dual N-channel MOSFET, 320 mA, 60 V, 6-Pin SOT-363";"";
"R2";"39R";"RC0402FR-0739RL";"RESC1005X40N";"Res Thick Film 0402 39 Ohm 1% 0.063W ?100ppm/?C Molded SMD Paper T/R";"";
"R3";"10K";"10K";"0402-TIGHT";"10KΩ resistor";"";
"R4";"1k";"1K";"0402-TIGHT";"1KΩ resistor";"";
"R5";"330";"330";"0402-TIGHT";"330Ω resistor";"";
"R6";"330";"330";"0402-TIGHT";"330Ω resistor";"";
"R7";"4.7K";"4.7K";"0402-TIGHT";"4.7KΩ resistor";"";
"R8";"4.7K";"4.7K";"0402-TIGHT";"4.7KΩ resistor";"";
"R9";"150K";"100K";"0402-TIGHT";"150KΩ resistor";"";
"R10";"0";"0";"0402-TIGHT";"0Ω resistor";"";
"R11";"150K";"100K";"0402-TIGHT";"150KΩ resistor";"";
"R12";"10K";"10K";"0402-TIGHT";"10KΩ resistor";"";
"R13";"0";"0";"0402-TIGHT";"0Ω resistor";"";
"R14";"0";"0";"0402-TIGHT";"0Ω resistor";"";
"R15";"330";"330";"0402-TIGHT";"330Ω resistor";"";
"R16";"330";"330";"0402-TIGHT";"330Ω resistor";"";
"R17";"330";"330";"0402-TIGHT";"330Ω resistor";"";
"R18";"0";"0";"0402-TIGHT";"0Ω resistor";"";
"R19";"0";"0";"0402-TIGHT";"0Ω resistor";"";
"R20";"470";"470";"0402-TIGHT";"470Ω resistor";"";
"R21";"470";"470";"0402-TIGHT";"470Ω resistor";"";
"R22";"2K";"2K";"0402-TIGHT";"2KΩ resistor";"";
"R23";"374K";"374K";"0402-TIGHT";"374KΩ resistor";"";
"R24";"1.2M";"1.2M-0402-1/10W-1%";"0402";"1.2MΩ resistor";"";
"R25";"10K";"10K";"0402-TIGHT";"10KΩ resistor";"";
"R26";"470";"470";"0402-TIGHT";"470Ω resistor";"";
"R27";"10K";"10K";"0402-TIGHT";"10KΩ resistor";"";
"R28";"1M";"1M";"0402-TIGHT";"1MΩ resistor";"";
"RST";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"RX";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"S1";"";"SWITCH-DPDT-SMD-AYZ0202";"SWITCH_DPDT_SMD_AYZ0202";"Double-Pole, Double-Throw (DPDT) Switch";"";
"SCK";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"SUPPLY1";"2PT_GND_TIE";"2PT_GND_TIE";"2PT_GND_TIE";"Dual Ground Supply";"";
"TX";"DNP";"TPTP-0.8MM";"TP-0.8MM";"Testpoint";"";
"U1";"ATSAMD21G-A";"ATSAMD21G-A";"TQFP-48";"Atmel SAMD21G SMART ARM-Based Microcontroller";"";
"U3";"NINA-W102";"NINA-W102";"NINAW102";"STAND-ALONE MULTIRADIO MODULE";"";
"U4";"ATECC508A-MAHDA-T";"ATECC508A-MAHDA-T";"SON50P300X200X60-9N";"Microchip ATECC508A-MAHDA-T 10kb 8-Pin Crypto Authentication IC UDFN";"";
"U5";"MCP73831T-4ADI_OT";"MCP73831T-4ADI_OT";"SOT95P270X145-5N";"Battery Management Li-Ion/Li-Poly Charg Mgnt 4.4V Vreg out";"";
"U6";"LM2664M6_NOPB";"LM2664M6_NOPB";"SOT95P280X145-6N";"1.8V to 5.5Vin Switched Capacitor Voltage Converter";"";
"U7";"TPS72325QDBVRQ1";"TPS72325QDBVRQ1";"SOT96P230X110-5N";"Automotive Single Output LDO, 200mA, High PSRR, Low Noise";"";
"U8";"TLV70025DDCR";"TLV70025DDCR";"SOT95P280X110-5N";"200-mA, Low-IQ, Low-Dropout Regulator for Portable Devices";"";
"U9";"LP5912Q3.3DRVRQ1";"LP5912Q3.3DRVRQ1";"DRV0006A";"";"";
"U17";"MPU-6050";"MPU-6050";"MPU6050";"IMUs - Inertial Measurement Units 6-Axis MEMS MotionTracking  Device with DMP";"";
"U18";"LP5912Q3.3DRVRQ1";"LP5912Q3.3DRVRQ1";"DRV0006A";"";"";
"VUSB1";"DNP";"TPTP-1.00MM";"TP-1.00MM";"Testpoint";"";
"Y1";"32.768Khz";"ECS-.327-12.5-34B-TR";"ECX-31B";"Crystals 32.768KHz 20ppm 12.5pF -40C +85C";"";
